00:01,1,11,2,675,24
00:12,19,17,3,774,8
00:28,55,5,1,144,4
00:34,62,11,3,75,8
00:50,13,39,3,710,4
01:07,21,44,1,791,24
01:13,31,4,2,742,24
01:24,50,10,2,831,24
01:35,6,40,2,616,8
01:46,14,42,1,39,24
01:52,20,8,14,172,24
03:09,58,44,1,465,24
03:15,43,46,2,844,24
03:26,63,31,2,676,24
03:37,4,31,3,849,24
03:54,63,43,2,132,24
04:05,47,42,4,675,24
04:27,41,31,3,722,24
04:44,59,27,1,622,24
04:49,38,5,17,599,8
06:23,41,31,7,123,24
07:02,31,7,6,177,24
07:36,46,48,2,2,24
07:47,35,20,11,471,24
08:48,52,49,2,338,24
08:59,50,20,12,498,24
10:05,68,38,1,274,8
10:11,33,49,3,849,24
10:28,53,22,1,761,24
10:33,51,27,3,337,8
10:50,57,47,8,693,24
11:34,6,39,2,838,24
11:45,9,39,1,832,24
11:51,19,27,1,149,24
11:56,2,38,3,112,24
12:13,67,28,1,343,24
12:19,24,2,5,871,24
12:46,7,20,3,677,24
13:03,39,24,5,37,2
13:31,67,4,2,293,4
13:42,43,50,4,76,8
14:04,11,4,2,48,24
14:15,53,18,2,253,24
14:26,69,25,3,536,24
14:43,7,6,2,202,8
14:54,18,11,4,199,24
15:16,7,16,14,704,4
16:34,34,48,2,853,24
16:45,20,28,3,451,24
17:02,4,43,3,720,24
17:18,14,28,6,234,8
17:52,27,23,3,378,24
18:08,30,3,2,59,24
18:19,25,32,2,535,24
18:31,53,23,3,34,24
18:47,11,34,1,170,24
18:53,1,6,31,565,24
21:45,70,39,1,348,24
21:50,31,17,3,473,24
22:07,1,37,10,364,24
23:02,32,29,2,134,3
23:14,34,38,8,547,3
