00:02,34,17,29,250,8
01:51,27,9,14,491,24
02:44,20,5,3,441,8
02:56,54,37,3,454,2
03:07,46,9,1,77,8
03:11,13,24,1,820,24
03:14,11,3,3,788,8
03:26,43,19,2,395,3
03:33,17,9,3,489,8
03:45,56,29,14,437,24
04:38,38,6,2,322,24
04:45,34,43,1,241,24
04:49,58,22,2,465,24
04:57,49,16,1,667,24
05:00,70,37,3,346,24
05:12,6,13,3,410,24
05:23,66,3,1,676,24
05:27,39,42,2,575,24
05:34,9,28,12,257,24
06:20,21,11,1,492,24
06:24,66,18,2,340,24
06:31,68,40,3,726,8
06:43,15,38,15,527,8
07:39,18,6,1,23,4
07:43,55,21,13,159,24
08:32,8,46,1,39,24
08:36,14,23,2,30,24
08:44,2,5,1,805,24
08:47,1,14,3,411,24
08:59,37,4,3,737,8
09:10,56,28,19,749,24
10:22,10,14,2,188,24
10:30,2,15,2,860,24
10:37,66,48,5,309,24
10:56,38,46,26,794,24
12:34,50,12,23,155,24
14:01,67,14,3,805,24
14:13,32,29,3,829,24
14:24,47,39,3,894,4
14:35,18,41,2,126,4
14:43,10,32,3,304,24
14:54,56,20,3,302,24
15:06,2,6,3,796,24
15:17,39,40,2,216,4
15:25,18,4,4,161,24
15:40,5,50,1,54,24
15:44,54,38,1,112,3
15:47,63,40,3,307,24
15:59,31,34,8,364,24
16:29,8,14,3,432,24
16:40,44,43,15,266,24
17:37,4,39,3,323,24
17:48,10,3,1,199,24
17:52,30,50,1,361,24
17:56,65,34,1,35,24
18:00,37,23,2,647,3
18:07,67,23,3,13,24
18:19,40,5,4,730,24
18:34,18,27,2,470,24
18:41,41,33,10,168,3
19:19,14,28,11,292,24
20:01,13,40,1,206,4
20:05,39,17,2,526,24
20:12,7,8,3,503,4
20:24,27,21,6,621,24
20:46,38,32,4,421,2
21:01,26,24,3,315,24
21:13,20,16,1,850,24
21:16,32,8,13,835,24
22:06,2,39,12,453,24
22:51,32,43,18,429,4
