00:01,5,48,3,676,8
00:20,29,40,6,633,24
00:59,66,44,15,592,24
02:37,6,50,2,224,8
02:50,59,37,2,253,24
03:03,5,17,1,270,8
03:10,2,7,3,633,24
03:30,49,40,2,397,4
03:43,40,44,1,118,24
03:49,35,42,1,584,4
03:56,43,40,14,495,24
05:27,26,44,3,389,24
05:47,43,17,3,695,8
06:06,14,44,1,265,4
06:13,3,32,2,294,24
06:26,31,31,2,72,24
06:39,6,35,2,356,24
06:52,14,47,1,67,24
06:59,63,32,2,496,4
07:12,46,40,7,370,24
07:57,34,6,2,176,24
08:11,32,48,31,370,24
11:33,29,48,3,425,24
11:53,35,34,2,459,24
12:06,47,49,3,782,24
12:25,48,4,12,822,24
13:44,22,46,3,773,24
14:03,47,12,9,53,24
15:02,4,18,3,330,8
15:22,10,37,11,87,4
16:34,49,50,1,763,24
16:40,27,11,3,619,24
17:00,52,33,3,687,3
17:19,39,37,3,651,3
17:39,13,34,3,713,24
17:59,64,41,1,190,8
18:05,70,27,1,20,8
18:12,26,6,2,665,24
18:25,23,45,3,141,24
18:44,60,50,1,634,24
18:51,26,10,3,144,24
19:10,10,11,3,613,8
19:30,8,43,3,276,8
19:50,6,22,1,841,24
19:56,66,26,1,535,24
20:03,44,4,3,14,24
20:22,14,40,1,557,8
20:29,8,49,1,822,24
20:35,25,42,14,673,8
22:07,42,44,9,243,24
23:06,49,28,2,314,24
23:19,44,17,2,73,3
23:32,54,36,3,315,2
23:51,40,33,1,788,2
